IDENTIFIANT;TYPE;CODE_CHANTIER;DLR;DPROG;DREA;DENLEV;DRENDU;COMMENTAIRE;LIBELLE;VILLE;RUE;DA_ETIQUETTE;DA_FORMULAIRE;DA_CREATION;DA_CLOT;CAMPAGNE_CODE_CHANTIER;OS_LIBELLE;OS_NO_ENGAGEMENT;OS_NO;COORD_LON;COORD_LAT;CC48_X;CC48_Y;CC48_Z;DLEVE;COMMENTAIRE_SAISIE;ETAT;PREVOIR_ENLEV
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;N/A;N/A;N/A;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;
